study_accession	sample_accession	run_accession	fastq_md5	fastq_ftp
PRJEB24914	SAMEA104585232	ERR2298693	f8e7d50a971c0265814acb10d448b0fa;ea6d70a115ea02a1e08b2d88aac702ea	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2298693/ERR2298693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2298693/ERR2298693_2.fastq.gz
PRJEB24914	SAMEA104585233	ERR2298694	14063b22dec8bdaea5278135b0969561;e95562be5db813c6297f528285361102	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2298694/ERR2298694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2298694/ERR2298694_2.fastq.gz
PRJEB24914	SAMEA104585234	ERR2298695	e8c0006ff34ea8241b32ff65981b4a9c;f617856af60dfa437a3c6c2a5665e170	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2298695/ERR2298695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2298695/ERR2298695_2.fastq.gz
PRJEB24914	SAMEA104585235	ERR2298696	5720942e702da1f64b1ab11e76ce9b20;8281f136862be00f4e08632a0f6b2430	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2298696/ERR2298696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2298696/ERR2298696_2.fastq.gz
PRJEB24914	SAMEA104585236	ERR2298697	898212df3a817d3643f4f0314d8b60d2;181f72c55a0bcacba01d1c8430cf5741	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2298697/ERR2298697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2298697/ERR2298697_2.fastq.gz
PRJEB24914	SAMEA104585237	ERR2298698	b001f67233de62124b511cb9d605be64;404ad77329ae80f86b10ded1bdc490d8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2298698/ERR2298698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2298698/ERR2298698_2.fastq.gz
PRJEB24914	SAMEA104585238	ERR2298699	707b9112b5e163fe7d70e2cb46dbb3fa;fc59f8c6ea19031ce1a9ed17950daff3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/009/ERR2298699/ERR2298699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/009/ERR2298699/ERR2298699_2.fastq.gz
PRJEB24914	SAMEA104585239	ERR2298700	0eb1d223e2bc0d1298278dce392e2aa8;e540f84ee2bbdca188ce86458800dec7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/000/ERR2298700/ERR2298700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/000/ERR2298700/ERR2298700_2.fastq.gz
PRJEB24914	SAMEA104585240	ERR2298701	0db01dcedb3f9d301c5e44327f003215;a0b5ad8157a38b06b2357502e0391a05;9e6607fef3982e647f5f2c39a5146ef3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2298701/ERR2298701.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2298701/ERR2298701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2298701/ERR2298701_2.fastq.gz
PRJEB24914	SAMEA104585241	ERR2298702	17c2659e74e03d46d5c18ee78ed03ded;37297dc3caa0705cf16cfc72f906cca3;a3305b94b18e1b8ecbd2d4aa68043e81	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2298702/ERR2298702.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2298702/ERR2298702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2298702/ERR2298702_2.fastq.gz
